Time in s,Speed in km/h,Sampling time in s,Acceleration in m/s²,Altitude in m,Gradient angle in rad
79.0,39.5,1.0,0.055555555555556344,0.0,0.0
80.0,39.0,1.0,-0.1388888888888889,0.0,0.0
81.0,38.5,1.0,-0.1388888888888889,0.0,0.0
82.0,37.3,1.0,-0.3333333333333341,0.0,0.0
83.0,37.0,1.0,-0.08333333333333254,0.0,0.0
84.0,36.7,1.0,-0.08333333333333254,0.0,0.0
85.0,35.9,1.0,-0.2222222222222234,0.0,0.0
86.0,35.3,1.0,-0.16666666666666705,0.0,0.0
87.0,34.6,1.0,-0.19444444444444325,0.0,0.0
88.0,34.2,1.0,-0.11111111111111072,0.0,0.0
89.0,31.9,1.0,-0.6388888888888901,0.0,0.0
90.0,27.3,1.0,-1.2777777777777772,0.0,0.0
91.0,22.0,1.0,-1.4722222222222223,0.0,0.0
92.0,17.0,1.0,-1.3888888888888888,0.0,0.0
93.0,14.2,1.0,-0.7777777777777779,0.0,0.0
94.0,12.0,1.0,-0.6111111111111109,0.0,0.0
95.0,9.1,1.0,-0.8055555555555556,0.0,0.0
96.0,5.8,1.0,-0.9166666666666666,0.0,0.0
97.0,3.6,1.0,-0.611111111111111,0.0,0.0
98.0,2.2,1.0,-0.38888888888888884,0.0,0.0
99.0,0.0,1.0,-0.6111111111111112,0.0,0.0
100.0,0.0,1.0,0.0,0.0,0.0
101.0,0.0,1.0,0.0,0.0,0.0
102.0,0.0,1.0,0.0,0.0,0.0
103.0,0.0,1.0,0.0,0.0,0.0
104.0,0.0,1.0,0.0,0.0,0.0
105.0,0.0,1.0,0.0,0.0,0.0
106.0,0.0,1.0,0.0,0.0,0.0
107.0,0.0,1.0,0.0,0.0,0.0
108.0,0.0,1.0,0.0,0.0,0.0
109.0,0.0,1.0,0.0,0.0,0.0
110.0,0.0,1.0,0.0,0.0,0.0
111.0,0.0,1.0,0.0,0.0,0.0
112.0,0.0,1.0,0.0,0.0,0.0
113.0,0.0,1.0,0.0,0.0,0.0
114.0,0.0,1.0,0.0,0.0,0.0
115.0,0.0,1.0,0.0,0.0,0.0
116.0,0.0,1.0,0.0,0.0,0.0
117.0,0.0,1.0,0.0,0.0,0.0
118.0,0.0,1.0,0.0,0.0,0.0
119.0,0.0,1.0,0.0,0.0,0.0
120.0,0.0,1.0,0.0,0.0,0.0
121.0,0.0,1.0,0.0,0.0,0.0
122.0,0.0,1.0,0.0,0.0,0.0
123.0,0.0,1.0,0.0,0.0,0.0
124.0,0.0,1.0,0.0,0.0,0.0
125.0,0.0,1.0,0.0,0.0,0.0
126.0,0.0,1.0,0.0,0.0,0.0
127.0,0.0,1.0,0.0,0.0,0.0
128.0,0.0,1.0,0.0,0.0,0.0
129.0,0.0,1.0,0.0,0.0,0.0
130.0,0.0,1.0,0.0,0.0,0.0
131.0,0.0,1.0,0.0,0.0,0.0
132.0,0.0,1.0,0.0,0.0,0.0
133.0,0.0,1.0,0.0,0.0,0.0
134.0,0.0,1.0,0.0,0.0,0.0
135.0,0.0,1.0,0.0,0.0,0.0
136.0,0.0,1.0,0.0,0.0,0.0
137.0,0.0,1.0,0.0,0.0,0.0
138.0,0.2,1.0,0.05555555555555556,0.0,0.0
139.0,1.9,1.0,0.4722222222222222,0.0,0.0
140.0,6.1,1.0,1.1666666666666665,0.0,0.0
141.0,11.7,1.0,1.5555555555555554,0.0,0.0
142.0,16.4,1.0,1.3055555555555554,0.0,0.0
143.0,18.9,1.0,0.6944444444444444,0.0,0.0
144.0,19.9,1.0,0.2777777777777778,0.0,0.0
145.0,20.8,1.0,0.2500000000000006,0.0,0.0
146.0,22.8,1.0,0.5555555555555556,0.0,0.0
147.0,25.4,1.0,0.7222222222222217,0.0,0.0
148.0,27.7,1.0,0.6388888888888891,0.0,0.0
149.0,29.2,1.0,0.41666666666666663,0.0,0.0
150.0,29.8,1.0,0.16666666666666705,0.0,0.0
151.0,29.4,1.0,-0.1111111111111117,0.0,0.0
152.0,27.2,1.0,-0.6111111111111109,0.0,0.0
153.0,22.6,1.0,-1.2777777777777772,0.0,0.0
154.0,17.3,1.0,-1.4722222222222223,0.0,0.0
155.0,13.3,1.0,-1.1111111111111112,0.0,0.0
156.0,12.0,1.0,-0.3611111111111113,0.0,0.0
157.0,12.6,1.0,0.16666666666666657,0.0,0.0
158.0,14.1,1.0,0.41666666666666663,0.0,0.0
159.0,17.2,1.0,0.8611111111111109,0.0,0.0
160.0,20.1,1.0,0.8055555555555561,0.0,0.0
161.0,23.4,1.0,0.9166666666666659,0.0,0.0
162.0,25.5,1.0,0.5833333333333337,0.0,0.0
163.0,27.6,1.0,0.5833333333333337,0.0,0.0
164.0,29.5,1.0,0.5277777777777773,0.0,0.0
165.0,31.1,1.0,0.4444444444444448,0.0,0.0
166.0,32.1,1.0,0.2777777777777778,0.0,0.0
167.0,33.2,1.0,0.30555555555555597,0.0,0.0
168.0,35.2,1.0,0.5555555555555556,0.0,0.0
169.0,37.2,1.0,0.5555555555555556,0.0,0.0
170.0,38.0,1.0,0.22222222222222143,0.0,0.0
171.0,37.4,1.0,-0.16666666666666705,0.0,0.0
172.0,35.1,1.0,-0.6388888888888881,0.0,0.0
173.0,31.0,1.0,-1.1388888888888893,0.0,0.0
174.0,27.1,1.0,-1.0833333333333328,0.0,0.0
175.0,25.3,1.0,-0.5000000000000002,0.0,0.0
176.0,25.1,1.0,-0.05555555555555536,0.0,0.0
177.0,25.9,1.0,0.22222222222222143,0.0,0.0
178.0,27.8,1.0,0.5277777777777783,0.0,0.0
179.0,29.2,1.0,0.3888888888888885,0.0,0.0
180.0,29.6,1.0,0.1111111111111117,0.0,0.0
181.0,29.5,1.0,-0.027777777777778172,0.0,0.0
182.0,29.2,1.0,-0.08333333333333352,0.0,0.0
183.0,28.3,1.0,-0.2499999999999996,0.0,0.0
184.0,26.1,1.0,-0.6111111111111109,0.0,0.0
185.0,23.6,1.0,-0.6944444444444444,0.0,0.0
186.0,21.0,1.0,-0.7222222222222227,0.0,0.0
187.0,18.9,1.0,-0.5833333333333337,0.0,0.0
188.0,17.1,1.0,-0.4999999999999992,0.0,0.0
189.0,15.7,1.0,-0.38888888888888945,0.0,0.0
190.0,14.5,1.0,-0.33333333333333315,0.0,0.0
191.0,13.7,1.0,-0.2222222222222224,0.0,0.0
192.0,12.9,1.0,-0.22222222222222193,0.0,0.0
193.0,12.5,1.0,-0.1111111111111112,0.0,0.0
194.0,12.2,1.0,-0.08333333333333352,0.0,0.0
195.0,12.0,1.0,-0.05555555555555536,0.0,0.0
196.0,12.0,1.0,0.0,0.0,0.0
197.0,12.0,1.0,0.0,0.0,0.0
198.0,12.0,1.0,0.0,0.0,0.0
199.0,12.5,1.0,0.1388888888888889,0.0,0.0
200.0,13.0,1.0,0.1388888888888889,0.0,0.0
201.0,14.0,1.0,0.2777777777777778,0.0,0.0
202.0,15.0,1.0,0.2777777777777778,0.0,0.0
203.0,16.5,1.0,0.41666666666666663,0.0,0.0
204.0,19.0,1.0,0.6944444444444444,0.0,0.0
205.0,21.2,1.0,0.6111111111111109,0.0,0.0
206.0,23.8,1.0,0.7222222222222227,0.0,0.0
207.0,26.9,1.0,0.8611111111111105,0.0,0.0
208.0,29.6,1.0,0.7500000000000008,0.0,0.0
209.0,32.0,1.0,0.6666666666666663,0.0,0.0
210.0,35.2,1.0,0.8888888888888896,0.0,0.0
211.0,37.5,1.0,0.6388888888888881,0.0,0.0
212.0,39.2,1.0,0.472222222222223,0.0,0.0
213.0,40.5,1.0,0.36111111111111033,0.0,0.0
214.0,41.6,1.0,0.30555555555555597,0.0,0.0
215.0,43.1,1.0,0.41666666666666663,0.0,0.0
216.0,45.0,1.0,0.5277777777777773,0.0,0.0
217.0,47.1,1.0,0.5833333333333337,0.0,0.0
218.0,49.0,1.0,0.5277777777777773,0.0,0.0
219.0,50.6,1.0,0.4444444444444448,0.0,0.0
220.0,51.8,1.0,0.33333333333333215,0.0,0.0
221.0,52.7,1.0,0.25000000000000155,0.0,0.0
222.0,53.1,1.0,0.11111111111111072,0.0,0.0
223.0,53.5,1.0,0.11111111111111072,0.0,0.0
224.0,53.8,1.0,0.08333333333333254,0.0,0.0
225.0,54.2,1.0,0.11111111111111269,0.0,0.0
226.0,54.8,1.0,0.16666666666666508,0.0,0.0
227.0,55.3,1.0,0.1388888888888889,0.0,0.0
228.0,55.8,1.0,0.1388888888888889,0.0,0.0
229.0,56.2,1.0,0.11111111111111269,0.0,0.0
230.0,56.5,1.0,0.08333333333333254,0.0,0.0
231.0,56.5,1.0,0.0,0.0,0.0
232.0,56.2,1.0,-0.08333333333333254,0.0,0.0
233.0,54.9,1.0,-0.36111111111111227,0.0,0.0
234.0,52.9,1.0,-0.5555555555555556,0.0,0.0
235.0,51.0,1.0,-0.5277777777777773,0.0,0.0
236.0,49.8,1.0,-0.3333333333333341,0.0,0.0
237.0,49.2,1.0,-0.16666666666666508,0.0,0.0
238.0,48.4,1.0,-0.2222222222222234,0.0,0.0
239.0,46.9,1.0,-0.41666666666666663,0.0,0.0
240.0,44.3,1.0,-0.7222222222222227,0.0,0.0
241.0,41.5,1.0,-0.777777777777777,0.0,0.0
242.0,39.5,1.0,-0.5555555555555556,0.0,0.0
243.0,37.0,1.0,-0.6944444444444444,0.0,0.0
244.0,34.6,1.0,-0.6666666666666663,0.0,0.0
245.0,32.3,1.0,-0.6388888888888901,0.0,0.0
246.0,29.0,1.0,-0.9166666666666659,0.0,0.0
247.0,25.1,1.0,-1.0833333333333328,0.0,0.0
248.0,22.2,1.0,-0.8055555555555561,0.0,0.0
249.0,20.9,1.0,-0.3611111111111113,0.0,0.0
250.0,20.4,1.0,-0.1388888888888889,0.0,0.0
251.0,19.5,1.0,-0.2499999999999996,0.0,0.0
252.0,18.4,1.0,-0.30555555555555597,0.0,0.0
253.0,17.8,1.0,-0.16666666666666607,0.0,0.0
254.0,17.8,1.0,0.0,0.0,0.0
255.0,17.4,1.0,-0.1111111111111117,0.0,0.0
256.0,15.7,1.0,-0.472222222222222,0.0,0.0
257.0,14.5,1.0,-0.33333333333333315,0.0,0.0
258.0,15.4,1.0,0.2500000000000001,0.0,0.0
259.0,17.9,1.0,0.694444444444444,0.0,0.0
260.0,20.6,1.0,0.7500000000000008,0.0,0.0
261.0,23.2,1.0,0.7222222222222217,0.0,0.0
262.0,25.7,1.0,0.6944444444444444,0.0,0.0
263.0,28.7,1.0,0.8333333333333333,0.0,0.0
264.0,32.5,1.0,1.0555555555555558,0.0,0.0
265.0,36.1,1.0,1.0000000000000004,0.0,0.0
266.0,39.0,1.0,0.8055555555555551,0.0,0.0
267.0,40.8,1.0,0.4999999999999992,0.0,0.0
268.0,42.9,1.0,0.5833333333333337,0.0,0.0
269.0,44.4,1.0,0.41666666666666663,0.0,0.0
270.0,45.9,1.0,0.41666666666666663,0.0,0.0
271.0,46.0,1.0,0.027777777777778172,0.0,0.0
272.0,45.6,1.0,-0.11111111111111072,0.0,0.0
273.0,45.3,1.0,-0.08333333333333452,0.0,0.0
274.0,43.7,1.0,-0.44444444444444287,0.0,0.0
275.0,40.8,1.0,-0.8055555555555571,0.0,0.0
276.0,38.0,1.0,-0.777777777777777,0.0,0.0
277.0,34.4,1.0,-1.0000000000000004,0.0,0.0
278.0,30.9,1.0,-0.9722222222222222,0.0,0.0
279.0,25.5,1.0,-1.4999999999999996,0.0,0.0
280.0,21.4,1.0,-1.1388888888888893,0.0,0.0
281.0,20.2,1.0,-0.33333333333333315,0.0,0.0
282.0,22.9,1.0,0.7499999999999998,0.0,0.0
283.0,26.6,1.0,1.0277777777777786,0.0,0.0
284.0,30.2,1.0,0.9999999999999993,0.0,0.0
285.0,34.1,1.0,1.083333333333334,0.0,0.0
286.0,37.4,1.0,0.9166666666666659,0.0,0.0
287.0,40.7,1.0,0.9166666666666679,0.0,0.0
288.0,44.0,1.0,0.9166666666666659,0.0,0.0
289.0,47.3,1.0,0.9166666666666659,0.0,0.0
290.0,49.2,1.0,0.5277777777777793,0.0,0.0
291.0,49.8,1.0,0.16666666666666508,0.0,0.0
292.0,49.2,1.0,-0.16666666666666508,0.0,0.0
293.0,48.1,1.0,-0.30555555555555597,0.0,0.0
294.0,47.3,1.0,-0.2222222222222234,0.0,0.0
295.0,46.8,1.0,-0.1388888888888889,0.0,0.0
296.0,46.7,1.0,-0.027777777777776198,0.0,0.0
297.0,46.8,1.0,0.027777777777776198,0.0,0.0
298.0,47.1,1.0,0.08333333333333452,0.0,0.0
299.0,47.3,1.0,0.05555555555555437,0.0,0.0
300.0,47.3,1.0,0.0,0.0,0.0
301.0,47.1,1.0,-0.05555555555555437,0.0,0.0
302.0,46.6,1.0,-0.1388888888888889,0.0,0.0
303.0,45.8,1.0,-0.2222222222222234,0.0,0.0
304.0,44.8,1.0,-0.2777777777777778,0.0,0.0
305.0,43.3,1.0,-0.41666666666666663,0.0,0.0
306.0,41.8,1.0,-0.41666666666666663,0.0,0.0
307.0,40.8,1.0,-0.2777777777777778,0.0,0.0
308.0,40.3,1.0,-0.1388888888888889,0.0,0.0
309.0,40.1,1.0,-0.05555555555555437,0.0,0.0
310.0,39.7,1.0,-0.11111111111111072,0.0,0.0
311.0,39.2,1.0,-0.1388888888888889,0.0,0.0
312.0,38.5,1.0,-0.19444444444444522,0.0,0.0
313.0,37.4,1.0,-0.30555555555555597,0.0,0.0
314.0,36.0,1.0,-0.3888888888888885,0.0,0.0
315.0,34.4,1.0,-0.4444444444444448,0.0,0.0
316.0,33.0,1.0,-0.3888888888888885,0.0,0.0
317.0,31.7,1.0,-0.3611111111111113,0.0,0.0
318.0,30.0,1.0,-0.472222222222222,0.0,0.0
319.0,28.0,1.0,-0.5555555555555556,0.0,0.0
320.0,26.1,1.0,-0.5277777777777773,0.0,0.0
321.0,25.6,1.0,-0.1388888888888889,0.0,0.0
322.0,24.9,1.0,-0.19444444444444522,0.0,0.0
323.0,24.9,1.0,0.0,0.0,0.0
324.0,24.3,1.0,-0.16666666666666607,0.0,0.0
325.0,23.9,1.0,-0.1111111111111117,0.0,0.0
326.0,23.9,1.0,0.0,0.0,0.0
327.0,23.6,1.0,-0.08333333333333254,0.0,0.0
328.0,23.3,1.0,-0.08333333333333352,0.0,0.0
329.0,20.5,1.0,-0.7777777777777779,0.0,0.0
330.0,17.5,1.0,-0.8333333333333333,0.0,0.0
331.0,16.9,1.0,-0.16666666666666705,0.0,0.0
332.0,16.7,1.0,-0.05555555555555536,0.0,0.0
333.0,15.9,1.0,-0.22222222222222193,0.0,0.0
334.0,15.6,1.0,-0.08333333333333352,0.0,0.0
335.0,15.0,1.0,-0.16666666666666657,0.0,0.0
336.0,14.5,1.0,-0.1388888888888889,0.0,0.0
337.0,14.3,1.0,-0.05555555555555536,0.0,0.0
338.0,14.5,1.0,0.05555555555555536,0.0,0.0
339.0,15.4,1.0,0.2500000000000001,0.0,0.0
340.0,17.8,1.0,0.6666666666666667,0.0,0.0
341.0,21.1,1.0,0.9166666666666669,0.0,0.0
342.0,24.1,1.0,0.8333333333333333,0.0,0.0
343.0,25.0,1.0,0.2499999999999996,0.0,0.0
344.0,25.3,1.0,0.08333333333333352,0.0,0.0
345.0,25.5,1.0,0.05555555555555536,0.0,0.0
346.0,26.4,1.0,0.2499999999999996,0.0,0.0
347.0,26.6,1.0,0.055555555555556344,0.0,0.0
348.0,27.1,1.0,0.1388888888888889,0.0,0.0
349.0,27.7,1.0,0.16666666666666607,0.0,0.0
350.0,28.1,1.0,0.1111111111111117,0.0,0.0
351.0,28.2,1.0,0.027777777777777186,0.0,0.0
352.0,28.1,1.0,-0.027777777777777186,0.0,0.0
353.0,28.0,1.0,-0.027777777777778172,0.0,0.0
354.0,27.9,1.0,-0.027777777777778172,0.0,0.0
355.0,27.9,1.0,0.0,0.0,0.0
356.0,28.1,1.0,0.055555555555556344,0.0,0.0
357.0,28.2,1.0,0.027777777777777186,0.0,0.0
358.0,28.0,1.0,-0.05555555555555536,0.0,0.0
359.0,26.9,1.0,-0.30555555555555597,0.0,0.0
360.0,25.0,1.0,-0.5277777777777773,0.0,0.0
361.0,23.2,1.0,-0.5000000000000002,0.0,0.0
362.0,21.9,1.0,-0.3611111111111113,0.0,0.0
363.0,21.1,1.0,-0.22222222222222143,0.0,0.0
364.0,20.7,1.0,-0.1111111111111117,0.0,0.0
365.0,20.7,1.0,0.0,0.0,0.0
366.0,20.8,1.0,0.027777777777778172,0.0,0.0
367.0,21.2,1.0,0.11111111111111072,0.0,0.0
368.0,22.1,1.0,0.2500000000000006,0.0,0.0
369.0,23.5,1.0,0.3888888888888885,0.0,0.0
370.0,24.3,1.0,0.2222222222222224,0.0,0.0
371.0,24.5,1.0,0.05555555555555536,0.0,0.0
372.0,23.8,1.0,-0.19444444444444425,0.0,0.0
373.0,21.3,1.0,-0.6944444444444444,0.0,0.0
374.0,17.7,1.0,-1.0000000000000004,0.0,0.0
375.0,14.4,1.0,-0.9166666666666663,0.0,0.0
376.0,11.9,1.0,-0.6944444444444444,0.0,0.0
377.0,10.2,1.0,-0.4722222222222225,0.0,0.0
378.0,8.9,1.0,-0.3611111111111108,0.0,0.0
379.0,8.0,1.0,-0.2500000000000001,0.0,0.0
380.0,7.2,1.0,-0.22222222222222215,0.0,0.0
381.0,6.1,1.0,-0.3055555555555557,0.0,0.0
382.0,4.9,1.0,-0.33333333333333315,0.0,0.0
383.0,3.7,1.0,-0.33333333333333337,0.0,0.0
384.0,2.3,1.0,-0.38888888888888895,0.0,0.0
385.0,0.9,1.0,-0.38888888888888884,0.0,0.0
386.0,0.0,1.0,-0.25,0.0,0.0
387.0,0.0,1.0,0.0,0.0,0.0
388.0,0.0,1.0,0.0,0.0,0.0
389.0,0.0,1.0,0.0,0.0,0.0
390.0,0.0,1.0,0.0,0.0,0.0
391.0,0.0,1.0,0.0,0.0,0.0
392.0,0.5,1.0,0.1388888888888889,0.0,0.0
393.0,2.1,1.0,0.4444444444444445,0.0,0.0
394.0,4.8,1.0,0.7499999999999999,0.0,0.0
395.0,8.3,1.0,0.9722222222222224,0.0,0.0
396.0,12.3,1.0,1.1111111111111112,0.0,0.0
397.0,16.6,1.0,1.1944444444444446,0.0,0.0
398.0,20.9,1.0,1.1944444444444435,0.0,0.0
399.0,24.2,1.0,0.9166666666666669,0.0,0.0
400.0,25.6,1.0,0.38888888888888945,0.0,0.0
401.0,25.6,1.0,0.0,0.0,0.0
402.0,24.9,1.0,-0.19444444444444522,0.0,0.0
403.0,23.3,1.0,-0.44444444444444386,0.0,0.0
404.0,21.6,1.0,-0.472222222222222,0.0,0.0
405.0,20.2,1.0,-0.38888888888888945,0.0,0.0
406.0,18.7,1.0,-0.41666666666666663,0.0,0.0
407.0,17.0,1.0,-0.472222222222222,0.0,0.0
408.0,15.3,1.0,-0.472222222222222,0.0,0.0
409.0,14.2,1.0,-0.30555555555555597,0.0,0.0
410.0,13.9,1.0,-0.08333333333333304,0.0,0.0
411.0,14.0,1.0,0.02777777777777768,0.0,0.0
412.0,14.2,1.0,0.05555555555555536,0.0,0.0
413.0,14.5,1.0,0.08333333333333352,0.0,0.0
414.0,14.9,1.0,0.1111111111111112,0.0,0.0
415.0,15.9,1.0,0.2777777777777778,0.0,0.0
416.0,17.4,1.0,0.4166666666666662,0.0,0.0
417.0,18.7,1.0,0.3611111111111113,0.0,0.0
418.0,19.1,1.0,0.1111111111111117,0.0,0.0
419.0,18.8,1.0,-0.08333333333333352,0.0,0.0
420.0,17.6,1.0,-0.33333333333333315,0.0,0.0
421.0,16.6,1.0,-0.2777777777777778,0.0,0.0
422.0,16.2,1.0,-0.1111111111111117,0.0,0.0
423.0,16.4,1.0,0.05555555555555536,0.0,0.0
424.0,17.2,1.0,0.2222222222222224,0.0,0.0
425.0,19.1,1.0,0.5277777777777783,0.0,0.0
426.0,22.6,1.0,0.9722222222222222,0.0,0.0
427.0,27.4,1.0,1.3333333333333326,0.0,0.0
428.0,31.6,1.0,1.1666666666666674,0.0,0.0
429.0,33.4,1.0,0.4999999999999992,0.0,0.0
430.0,33.5,1.0,0.027777777777778172,0.0,0.0
431.0,32.8,1.0,-0.19444444444444522,0.0,0.0
432.0,31.9,1.0,-0.2499999999999996,0.0,0.0
433.0,31.3,1.0,-0.16666666666666607,0.0,0.0
434.0,31.1,1.0,-0.05555555555555536,0.0,0.0
435.0,30.6,1.0,-0.1388888888888889,0.0,0.0
436.0,29.2,1.0,-0.38888888888888945,0.0,0.0
437.0,26.7,1.0,-0.6944444444444444,0.0,0.0
438.0,23.0,1.0,-1.0277777777777775,0.0,0.0
439.0,18.2,1.0,-1.3333333333333335,0.0,0.0
440.0,12.9,1.0,-1.4722222222222219,0.0,0.0
441.0,7.7,1.0,-1.4444444444444444,0.0,0.0
442.0,3.8,1.0,-1.0833333333333335,0.0,0.0
443.0,1.3,1.0,-0.6944444444444444,0.0,0.0
444.0,0.2,1.0,-0.3055555555555556,0.0,0.0
445.0,0.0,1.0,-0.05555555555555556,0.0,0.0
446.0,0.0,1.0,0.0,0.0,0.0
447.0,0.0,1.0,0.0,0.0,0.0
448.0,0.0,1.0,0.0,0.0,0.0
449.0,0.0,1.0,0.0,0.0,0.0
450.0,0.0,1.0,0.0,0.0,0.0
451.0,0.0,1.0,0.0,0.0,0.0
452.0,0.0,1.0,0.0,0.0,0.0
453.0,0.0,1.0,0.0,0.0,0.0
454.0,0.0,1.0,0.0,0.0,0.0
455.0,0.0,1.0,0.0,0.0,0.0
456.0,0.0,1.0,0.0,0.0,0.0
457.0,0.0,1.0,0.0,0.0,0.0
458.0,0.0,1.0,0.0,0.0,0.0
459.0,0.0,1.0,0.0,0.0,0.0
460.0,0.0,1.0,0.0,0.0,0.0
461.0,0.0,1.0,0.0,0.0,0.0
462.0,0.0,1.0,0.0,0.0,0.0
463.0,0.0,1.0,0.0,0.0,0.0
464.0,0.0,1.0,0.0,0.0,0.0
465.0,0.0,1.0,0.0,0.0,0.0
466.0,0.0,1.0,0.0,0.0,0.0
467.0,0.0,1.0,0.0,0.0,0.0
468.0,0.0,1.0,0.0,0.0,0.0
469.0,0.0,1.0,0.0,0.0,0.0
470.0,0.0,1.0,0.0,0.0,0.0
471.0,0.0,1.0,0.0,0.0,0.0
472.0,0.0,1.0,0.0,0.0,0.0
473.0,0.0,1.0,0.0,0.0,0.0
474.0,0.0,1.0,0.0,0.0,0.0
475.0,0.0,1.0,0.0,0.0,0.0
476.0,0.0,1.0,0.0,0.0,0.0
477.0,0.0,1.0,0.0,0.0,0.0
478.0,0.0,1.0,0.0,0.0,0.0
479.0,0.0,1.0,0.0,0.0,0.0
480.0,0.0,1.0,0.0,0.0,0.0
481.0,0.0,1.0,0.0,0.0,0.0
482.0,0.0,1.0,0.0,0.0,0.0
483.0,0.0,1.0,0.0,0.0,0.0
484.0,0.0,1.0,0.0,0.0,0.0
485.0,0.0,1.0,0.0,0.0,0.0
486.0,0.0,1.0,0.0,0.0,0.0
487.0,0.0,1.0,0.0,0.0,0.0
488.0,0.0,1.0,0.0,0.0,0.0
489.0,0.0,1.0,0.0,0.0,0.0
490.0,0.0,1.0,0.0,0.0,0.0
491.0,0.0,1.0,0.0,0.0,0.0
492.0,0.0,1.0,0.0,0.0,0.0
